pH,HF_percent,F_minus_percent
0.0,99.934044,0.065956
0.1,99.91698,0.08302
0.2,99.895506,0.104494
0.3,99.868486,0.131514
0.4,99.83449,0.16551
0.5,99.791724,0.208276
0.6,99.737938,0.262062
0.7,99.670307,0.329693
0.8,99.585295,0.414705
0.9,99.478477,0.521523
1.0,99.344327,0.655673
1.1,99.175956,0.824044
1.2,98.964799,1.035201
1.3,98.700243,1.299757
1.4,98.369191,1.630809
1.5,97.955566,2.044434
1.6,97.439763,2.560237
1.7,96.798079,3.201921
1.8,96.002164,3.997836
1.9,95.018588,4.981412
2.0,93.80863,6.19137
2.1,92.328509,7.671491
2.2,90.530267,9.469733
2.3,88.363631,11.636369
2.4,85.779147,14.220853
2.5,82.732809,17.267191
2.6,79.192193,20.807807
2.7,75.143699,24.856301
2.8,70.599938,29.400062
2.9,65.60575,34.39425
3.0,60.240964,39.759036
3.1,54.618223,45.381777
3.2,48.87515,51.12485
3.3,43.161621,56.838379
3.4,37.624466,62.375534
3.5,32.392826,67.607174
3.6,27.567139,72.432861
3.7,23.213513,76.786487
3.8,19.363639,80.636361
3.9,16.019053,83.980947
4.0,13.157895,86.842105
4.1,10.742399,89.257601
4.2,8.725779,91.274221
4.3,7.057795,92.942205
4.4,5.688784,94.311216
4.5,4.572258,95.427742
4.6,3.666351,96.333649
4.7,2.934414,97.065586
4.8,2.345041,97.654959
4.9,1.87176,98.12824
5.0,1.492537,98.507463
5.1,1.189215,98.810785
5.2,0.946943,99.053057
5.3,0.753652,99.246348
5.4,0.599576,99.400424
5.5,0.476848,99.523152
5.6,0.379146,99.620854
5.7,0.301401,99.698599
5.8,0.23956,99.76044
5.9,0.190383,99.809617
6.0,0.151286,99.848714
6.1,0.120208,99.879792
6.2,0.095508,99.904492
6.3,0.07588,99.92412
6.4,0.060283,99.939717
6.5,0.04789,99.95211
6.6,0.038044,99.961956
6.7,0.030222,99.969778
6.8,0.024008,99.975992
6.9,0.019071,99.980929
7.0,0.015149,99.984851
7.1,0.012034,99.987966
7.2,0.009559,99.990441
7.3,0.007593,99.992407
7.4,0.006032,99.993968
7.5,0.004791,99.995209
7.6,0.003806,99.996194
7.7,0.003023,99.996977
7.8,0.002401,99.997599
7.9,0.001907,99.998093
8.0,0.001515,99.998485
8.1,0.001204,99.998796
8.2,0.000956,99.999044
8.3,0.000759,99.999241
8.4,0.000603,99.999397
8.5,0.000479,99.999521
8.6,0.000381,99.999619
8.7,0.000302,99.999698
8.8,0.00024,99.99976
8.9,0.000191,99.999809
9.0,0.000152,99.999848
9.1,0.00012,99.99988
9.2,9.6e-05,99.999904
9.3,7.6e-05,99.999924
9.4,6e-05,99.99994
9.5,4.8e-05,99.999952
9.6,3.8e-05,99.999962
9.7,3e-05,99.99997
9.8,2.4e-05,99.999976
9.9,1.9e-05,99.999981
10.0,1.5e-05,99.999985
10.1,1.2e-05,99.999988
10.2,1e-05,99.99999
10.3,8e-06,99.999992
10.4,6e-06,99.999994
10.5,5e-06,99.999995
10.6,4e-06,99.999996
10.7,3e-06,99.999997
10.8,2e-06,99.999998
10.9,2e-06,99.999998
11.0,2e-06,99.999998
11.1,1e-06,99.999999
11.2,1e-06,99.999999
11.3,1e-06,99.999999
11.4,1e-06,99.999999
11.5,0.0,100.0
11.6,0.0,100.0
11.7,0.0,100.0
11.8,0.0,100.0
11.9,0.0,100.0
12.0,0.0,100.0
12.1,0.0,100.0
12.2,0.0,100.0
12.3,0.0,100.0
12.4,0.0,100.0
12.5,0.0,100.0
12.6,0.0,100.0
12.7,0.0,100.0
12.8,0.0,100.0
12.9,0.0,100.0
13.0,0.0,100.0
13.1,0.0,100.0
13.2,0.0,100.0
13.3,0.0,100.0
13.4,0.0,100.0
13.5,0.0,100.0
13.6,0.0,100.0
13.7,0.0,100.0
13.8,0.0,100.0
13.9,0.0,100.0
14.0,0.0,100.0
